Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站)
10,53360587,鼎群機械有限公司,基隆市中正區砂灣里正榮街112巷26號3樓,1000000,2011-03-02,2013-07-11,核准設立,,配管工程業,-0.16699999999999998,11,25.143231,121.76439099999999,"(25.143231, 121.76439099999999)",11,基隆通訊處,True
11,26560344,彥禧工程行,基隆市信義區正信路227巷23弄11號6樓,200000,2011-04-18,2019-07-10,核准設立 - 獨資 (核准文號: 1080001523),,配管工程業,-0.433,12,25.134731,121.76440500000001,"(25.134731, 121.76440500000001)",11,基隆通訊處,False
12,53961168,技東科技企業有限公司,基隆市中正區入船里中正路154號1樓,15000000,2012-07-19,2019-05-16,核准設立,,配管工程業,4.484,13,25.138443,121.75095,"(25.138443, 121.75095)",11,基隆通訊處,False
13,31519401,龍暟水電工程行,基隆市中正區中正路640巷19之3號4樓,100000,2012-10-08,2012-10-08,核准設立 - 獨資,,配管工程業,-0.466,14,25.150458,121.767007,"(25.150458, 121.767007)",11,基隆通訊處,True
14,37754944,吉翔工程行,基隆市中正區中正路640巷35號1樓,200000,2012-10-26,2012-10-26,核准設立 - 獨資,,配管工程業,-0.433,15,25.149908,121.767099,"(25.149908, 121.767099)",11,基隆通訊處,True
15,37758792,泉勝水電工程行,基隆市中正區中正路464號,200000,2013-06-05,2013-06-05,核准設立 - 獨資,,配管工程業,-0.433,16,25.148201999999998,121.761923,"(25.148201999999998, 121.761923)",11,基隆通訊處,False
16,54507286,祥裕工程顧問有限公司,基隆市信義區義幸里信二路174巷91號2樓,2000000,2013-07-17,,核准設立,林楷峰,配管工程業,0.165,17,25.130292999999998,121.753722,"(25.130292999999998, 121.753722)",11,基隆通訊處,False
17,41002241,昕躍水電工程行,基隆市中正區中正路119巷20號2樓,200000,2014-12-04,2014-12-04,核准設立 - 獨資 (核准文號: 1030002825),,配管工程業,-0.433,18,25.141831,121.759546,"(25.141831, 121.759546)",11,基隆通訊處,False
18,41357171,勝崴工程行,基隆市信義區正信路151巷5之2號2樓,200000,2015-08-17,2019-02-20,核准設立 - 獨資 (核准文號: 1080000332),,配管工程業,-0.433,19,25.1304,121.75796799999999,"(25.1304, 121.75796799999999)",11,基隆通訊處,False
19,41359115,育誠水電工程行,基隆市信義區仁一路37巷3號1樓,200000,2015-11-02,2018-03-02,核准設立 - 獨資 (核准文號: 1070000386),,配管工程業,-0.433,20,25.127520999999998,121.75504099999999,"(25.127520999999998, 121.75504099999999)",11,基隆通訊處,False
20,42158988,瀚祥企業社,基隆市中正區新豐街303巷19弄2號2樓,200000,2016-02-26,2016-02-26,核准設立 - 獨資 (核准文號: 1050000341),,配管工程業,-0.433,21,25.133253,121.78845,"(25.133253, 121.78845)",11,基隆通訊處,False
21,42161386,和盛工程行,基隆市信義區中興路11巷1號3樓,100000,2016-06-13,2017-03-01,核准設立 - 獨資 (核准文號: 1060000361),,配管工程業,-0.466,22,25.128754,121.75417900000001,"(25.128754, 121.75417900000001)",11,基隆通訊處,False
22,55929636,廣宸實業有限公司,基隆市中正區中船路7巷42號,1000000,2016-11-18,2018-12-13,核准設立,,配管工程業,-0.16699999999999998,23,25.137646,121.75081399999999,"(25.137646, 121.75081399999999)",11,基隆通訊處,False
23,50584958,和亞不銹鋼工程行,基隆市中正區中正路283號,240000,2016-12-27,2016-12-27,核准設立 - 獨資 (核准文號: 1050002734),,配管工程業,-0.42,24,25.145329,121.761253,"(25.145329, 121.761253)",11,基隆通訊處,False
24,56609560,玉樹工程有限公司,基隆市信義區教忠街141巷53號,1000000,2017-04-17,,核准設立,劉瑞基,配管工程業,-0.16699999999999998,25,25.140083999999998,121.778084,"(25.140083999999998, 121.778084)",11,基隆通訊處,False
25,56699204,巨森科技有限公司,基隆市信義區孝忠里深溪路36巷98號,10000,2017-07-17,,核准設立,石瑞羣,配管工程業,-0.496,26,25.133073,121.78381200000001,"(25.133073, 121.78381200000001)",11,基隆通訊處,False
26,72637938,隆合工程行,基隆市中正區新豐街303巷17弄7號3樓,240000,2017-08-22,2017-08-22,核准設立 - 獨資 (核准文號: 1060001765),,配管工程業,-0.42,27,25.13341,121.78863100000001,"(25.13341, 121.78863100000001)",11,基隆通訊處,False
27,72638731,弘大工程行,基隆市信義區東信路35巷157之4號,200000,2017-09-20,2018-02-27,核准設立 - 獨資 (核准文號: 1070000366),,配管工程業,-0.433,28,25.125972,121.766976,"(25.125972, 121.766976)",11,基隆通訊處,False
28,72641659,連榮工程行,基隆市信義區東美二街102號1樓,200000,2018-02-06,2018-02-06,核准設立 - 獨資 (核准文號: 1070000260),,配管工程業,-0.433,29,25.136004999999997,121.77321299999998,"(25.136004999999997, 121.77321299999998)",11,基隆通訊處,False
29,72824572,艾品室內裝修企業社,基隆市信義區正信路141號1樓,200000,2018-06-26,2018-06-26,核准設立 - 獨資 (核准文號: 1070001298),,配管工程業,-0.433,30,25.130817,121.760609,"(25.130817, 121.760609)",11,基隆通訊處,False
