,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序
38,146074,青山有限公司,基隆市信義區義四路14號,5000000,1971-12-01,2017-12-15,核准設立,,五金批發業,2.25,2
39,98101452,全買行,基隆市中正區中正路350號之1，1樓,50000,1997-07-07,2019-03-11,核准設立 - 獨資 (核准文號: 1080000501),,五金批發業,-0.743,3
40,12835744,智昌企業有限公司,基隆市中正區正砂里中正路464號,1000000,2001-07-12,2016-06-03,核准設立,,五金批發業,-0.168,4
41,27775110,中繼有限公司,基隆市仁愛區仁德里孝一路68-3號4樓,500000,2005-04-28,2011-01-21,核准設立,,五金批發業,-0.471,5
42,28016545,德侑科技股份有限公司,基隆市信義區義和里正信路151巷1號4樓,5000000,2005-10-26,2019-08-15,,,五金批發業,2.25,6
43,28333789,圓穩實業有限公司,基隆市信義區禮儀里東明路77巷130號1樓,500000,2006-06-12,2016-07-18,核准設立,,五金批發業,-0.471,7
44,28582956,盛源工業有限公司,基隆市中正區祥豐街148號1樓,3000000,2007-02-15,2010-01-22,核准設立,,五金批發業,1.041,8
45,10509096,禾強企業行,基隆市信義區仁壽里信一路一三三號七樓,200000,2007-12-26,2007-12-26,核准設立 - 獨資,,五金批發業,-0.652,9
46,10653824,景茂企業行,基隆市信義區仁壽里義五路９號１樓,200000,2008-07-07,2019-02-12,歇業 - 獨資 (核准文號: 1080000270),,五金批發業,-0.652,10
47,24350879,精港企業有限公司,基隆市中正區正濱路72號1樓,4100000,2009-02-05,,核准設立,蕭陳寶玉,五金批發業,1.706,11
48,53272682,翔鷹消防工程有限公司,基隆市信義區東信路3巷22號,500000,2010-12-03,2016-04-12,核准設立,,五金批發業,-0.471,12
49,54006939,玉穎貿易有限公司,基隆市中正區港通里義一路29號,500000,2012-11-07,2019-04-22,解散 (核准解散日期: 2019-10-16),,五金批發業,-0.471,13
50,53956670,智方興業有限公司,基隆市信義區東信路127號,1000000,2012-12-05,2016-10-25,核准設立,,五金批發業,-0.168,14
51,39964544,丞宗企業行,基隆市中正區祥豐街148號1樓,240000,2013-12-05,2013-12-05,核准設立 - 獨資 (核准文號: 1020002458),,五金批發業,-0.628,15
52,50586386,達鋅商行,基隆市信義區義四路7號1樓,200000,2017-03-15,2019-11-26,核准設立 - 獨資 (核准文號: 1080002528),,五金批發業,-0.652,16
53,56605781,貞泰工程有限公司,基隆市信義區深溪路3-2號,100000,2017-03-31,,核准設立,簡彣霖,五金批發業,-0.713,17
54,56643814,翊時之選有限公司,基隆市中正區新豐街162巷39號6樓,2000000,2017-05-19,,核准設立,邱彥翊,五金批發業,0.436,18
